date,time,origin,destination,ridership
2025-01-04,11:00,JB Sentral,Woodlands CIQ,235
2025-01-04,12:00,Woodlands CIQ,JB Sentral,321
2025-01-04,12:00,JB Sentral,Woodlands CIQ,282
2025-01-04,13:00,Woodlands CIQ,JB Sentral,322
2025-01-04,14:00,JB Sentral,Woodlands CIQ,324
2025-01-04,15:00,Woodlands CIQ,JB Sentral,323
2025-01-04,15:00,JB Sentral,Woodlands CIQ,325
2025-01-04,16:00,Woodlands CIQ,JB Sentral,325
2025-01-04,16:00,JB Sentral,Woodlands CIQ,323
2025-01-04,17:00,Woodlands CIQ,JB Sentral,322
2025-01-04,17:00,JB Sentral,Woodlands CIQ,321
2025-01-04,18:00,Woodlands CIQ,JB Sentral,254
2025-01-04,19:00,JB Sentral,Woodlands CIQ,320
2025-01-04,20:00,Woodlands CIQ,JB Sentral,147
2025-01-04,20:00,JB Sentral,Woodlands CIQ,320
2025-01-04,21:00,Woodlands CIQ,JB Sentral,196
2025-01-04,21:00,JB Sentral,Woodlands CIQ,320
2025-01-04,22:00,Woodlands CIQ,JB Sentral,153
2025-01-04,22:00,JB Sentral,Woodlands CIQ,320
2025-01-04,23:00,Woodlands CIQ,JB Sentral,60
2025-01-05,05:00,JB Sentral,Woodlands CIQ,94
2025-01-05,06:00,JB Sentral,Woodlands CIQ,153
2025-01-05,07:00,JB Sentral,Woodlands CIQ,284
2025-01-05,08:00,Woodlands CIQ,JB Sentral,320
2025-01-05,08:00,JB Sentral,Woodlands CIQ,327
2025-01-05,09:00,Woodlands CIQ,JB Sentral,320
2025-01-05,10:00,JB Sentral,Woodlands CIQ,323
2025-01-05,11:00,Woodlands CIQ,JB Sentral,326
2025-01-05,11:00,JB Sentral,Woodlands CIQ,321
2025-01-05,12:00,Woodlands CIQ,JB Sentral,322
2025-01-05,12:00,JB Sentral,Woodlands CIQ,322
2025-01-05,13:00,Woodlands CIQ,JB Sentral,288
2025-01-05,14:00,JB Sentral,Woodlands CIQ,322
2025-01-05,15:00,Woodlands CIQ,JB Sentral,106
2025-01-05,15:00,JB Sentral,Woodlands CIQ,324
2025-01-05,16:00,Woodlands CIQ,JB Sentral,108
2025-01-05,16:00,JB Sentral,Woodlands CIQ,321
2025-01-05,17:00,Woodlands CIQ,JB Sentral,98
2025-01-05,17:00,JB Sentral,Woodlands CIQ,323
2025-01-05,18:00,Woodlands CIQ,JB Sentral,71
2025-01-05,19:00,JB Sentral,Woodlands CIQ,322
2025-01-05,20:00,Woodlands CIQ,JB Sentral,82
2025-01-05,20:00,JB Sentral,Woodlands CIQ,320
2025-01-05,21:00,Woodlands CIQ,JB Sentral,78
2025-01-05,21:00,JB Sentral,Woodlands CIQ,320
2025-01-05,22:00,Woodlands CIQ,JB Sentral,67
2025-01-05,22:00,JB Sentral,Woodlands CIQ,320
2025-01-05,23:00,Woodlands CIQ,JB Sentral,69
2025-01-06,05:00,JB Sentral,Woodlands CIQ,640
2025-01-06,06:00,JB Sentral,Woodlands CIQ,640
2025-01-06,07:00,JB Sentral,Woodlands CIQ,640
2025-01-06,08:00,Woodlands CIQ,JB Sentral,321
2025-01-06,08:00,JB Sentral,Woodlands CIQ,321
2025-01-06,09:00,Woodlands CIQ,JB Sentral,321
2025-01-06,10:00,JB Sentral,Woodlands CIQ,326
2025-01-06,11:00,Woodlands CIQ,JB Sentral,322
2025-01-06,11:00,JB Sentral,Woodlands CIQ,220
2025-01-06,12:00,Woodlands CIQ,JB Sentral,321
2025-01-06,12:00,JB Sentral,Woodlands CIQ,285
2025-01-06,13:00,Woodlands CIQ,JB Sentral,244
2025-01-06,15:00,JB Sentral,Woodlands CIQ,325
2025-01-06,16:00,Woodlands CIQ,JB Sentral,141
2025-01-06,16:00,JB Sentral,Woodlands CIQ,324
2025-01-06,17:00,Woodlands CIQ,JB Sentral,128
2025-01-06,17:00,JB Sentral,Woodlands CIQ,324
2025-01-06,18:00,Woodlands CIQ,JB Sentral,320
2025-01-06,19:00,JB Sentral,Woodlands CIQ,321
2025-01-06,20:00,Woodlands CIQ,JB Sentral,321
2025-01-06,20:00,JB Sentral,Woodlands CIQ,320
2025-01-06,21:00,Woodlands CIQ,JB Sentral,168
2025-01-06,21:00,JB Sentral,Woodlands CIQ,320
2025-01-06,22:00,Woodlands CIQ,JB Sentral,86
2025-01-06,22:00,JB Sentral,Woodlands CIQ,320
2025-01-06,23:00,Woodlands CIQ,JB Sentral,48
2025-01-07,05:00,JB Sentral,Woodlands CIQ,640
2025-01-07,06:00,JB Sentral,Woodlands CIQ,640
2025-01-07,07:00,JB Sentral,Woodlands CIQ,640
2025-01-07,08:00,Woodlands CIQ,JB Sentral,321
2025-01-07,08:00,JB Sentral,Woodlands CIQ,320
2025-01-07,09:00,Woodlands CIQ,JB Sentral,320
2025-01-07,10:00,JB Sentral,Woodlands CIQ,228
2025-01-07,11:00,Woodlands CIQ,JB Sentral,320
2025-01-07,11:00,JB Sentral,Woodlands CIQ,138
2025-01-07,12:00,Woodlands CIQ,JB Sentral,322
2025-01-07,12:00,JB Sentral,Woodlands CIQ,138
2025-01-07,13:00,Woodlands CIQ,JB Sentral,209
2025-01-07,14:00,JB Sentral,Woodlands CIQ,214
2025-01-07,15:00,Woodlands CIQ,JB Sentral,105
2025-01-07,15:00,JB Sentral,Woodlands CIQ,324
2025-01-07,16:00,Woodlands CIQ,JB Sentral,79
2025-01-07,16:00,JB Sentral,Woodlands CIQ,321
2025-01-07,17:00,Woodlands CIQ,JB Sentral,124
2025-01-07,17:00,JB Sentral,Woodlands CIQ,322
2025-01-07,18:00,Woodlands CIQ,JB Sentral,320
2025-01-07,19:00,JB Sentral,Woodlands CIQ,322
2025-01-07,20:00,Woodlands CIQ,JB Sentral,319
2025-01-07,20:00,JB Sentral,Woodlands CIQ,320
2025-01-07,21:00,Woodlands CIQ,JB Sentral,197
2025-01-07,21:00,JB Sentral,Woodlands CIQ,320
2025-01-07,22:00,Woodlands CIQ,JB Sentral,76
2025-01-07,22:00,JB Sentral,Woodlands CIQ,291
2025-01-07,23:00,Woodlands CIQ,JB Sentral,25
2025-01-08,05:00,JB Sentral,Woodlands CIQ,640
2025-01-08,06:00,JB Sentral,Woodlands CIQ,640
2025-01-08,07:00,JB Sentral,Woodlands CIQ,640
2025-01-08,08:00,Woodlands CIQ,JB Sentral,321
2025-01-08,08:00,JB Sentral,Woodlands CIQ,320
2025-01-08,09:00,Woodlands CIQ,JB Sentral,320
2025-01-08,10:00,JB Sentral,Woodlands CIQ,231
2025-01-08,11:00,Woodlands CIQ,JB Sentral,322
2025-01-08,11:00,JB Sentral,Woodlands CIQ,169
2025-01-08,12:00,Woodlands CIQ,JB Sentral,320
