od_pair,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Abdullah Hukum → Padang Jawa,1.0,0.0,0.0,0.0,0.0,0.0,65.0,31.0,12.0,8.0,18.0,8.0,4.0,7.0,8.0,11.0,13.0,57.0,991.0,1617.0,450.0,271.0,91.0,9.0
Abdullah Hukum → Pantai Dalam,1.0,1.0,0.0,0.0,0.0,0.0,203.0,70.0,40.0,9.0,31.0,21.0,30.0,96.0,38.0,60.0,163.0,6853.0,13405.0,6087.0,2526.0,1036.0,290.0,15.0
Abdullah Hukum → Pelabuhan Klang Selatan,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,5.0,5.0,7.0,6.0,4.0,6.0,3.0,5.0,8.0,38.0,57.0,195.0,92.0,24.0,17.0,12.0
Abdullah Hukum → Penalty,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Abdullah Hukum → Petaling,0.0,0.0,0.0,0.0,0.0,0.0,260.0,130.0,31.0,10.0,49.0,14.0,34.0,25.0,23.0,32.0,71.0,2067.0,12929.0,6695.0,2427.0,921.0,114.0,9.0
Abdullah Hukum → Pulau Sebang (Tampin),0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Abdullah Hukum → Putra,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,5.0,3.0,1.0,2.0,1.0,5.0,0.0,4.0,2.0,3.0,6.0,12.0,4.0,4.0,3.0,0.0
Abdullah Hukum → Rasa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,4.0,1.0,6.0,11.0,8.0,18.0,7.0,0.0,1.0
Abdullah Hukum → Rawang,0.0,0.0,0.0,0.0,1.0,2.0,17.0,20.0,29.0,29.0,21.0,11.0,3.0,2.0,3.0,6.0,16.0,20.0,31.0,89.0,76.0,43.0,23.0,10.0
Abdullah Hukum → Rembau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdullah Hukum → Salak Selatan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0
Abdullah Hukum → Segambut,0.0,0.0,0.0,0.0,0.0,0.0,10.0,103.0,60.0,29.0,5.0,3.0,4.0,2.0,1.0,6.0,3.0,25.0,26.0,38.0,9.0,8.0,1.0,1.0
Abdullah Hukum → Sentul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Abdullah Hukum → Seputeh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Abdullah Hukum → Serdang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,1.0,1.0,1.0,0.0
Abdullah Hukum → Seremban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,5.0,6.0,5.0,0.0,0.0
Abdullah Hukum → Serendah,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0,1.0,7.0,18.0,24.0,22.0,13.0,4.0,1.0
Abdullah Hukum → Seri Setia,0.0,0.0,0.0,0.0,0.0,0.0,13.0,24.0,19.0,4.0,1.0,1.0,5.0,5.0,1.0,6.0,17.0,85.0,1548.0,619.0,275.0,177.0,39.0,4.0
Abdullah Hukum → Setia Jaya,0.0,0.0,0.0,0.0,0.0,0.0,161.0,125.0,37.0,8.0,47.0,17.0,27.0,11.0,9.0,12.0,28.0,121.0,2268.0,2174.0,832.0,473.0,156.0,36.0
Abdullah Hukum → Shah Alam,1.0,0.0,2.0,0.0,0.0,2.0,126.0,54.0,17.0,12.0,20.0,10.0,11.0,4.0,19.0,14.0,23.0,142.0,2471.0,4459.0,1184.0,504.0,173.0,18.0
Abdullah Hukum → Subang Jaya,0.0,0.0,0.0,0.0,0.0,0.0,70.0,20.0,2.0,1.0,15.0,24.0,2.0,1.0,2.0,2.0,6.0,15.0,335.0,456.0,121.0,37.0,12.0,2.0
Abdullah Hukum → Sungai Buloh,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,11.0,7.0,5.0,1.0,0.0,3.0,4.0,2.0,4.0,12.0,8.0,16.0,7.0,6.0,5.0,1.0
Abdullah Hukum → Sungai Gadut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Abdullah Hukum → Taman Wahyu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
Abdullah Hukum → Tanjong Malim,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,3.0,18.0,17.0,10.0,1.0,2.0,1.0,7.0,8.0,4.0,6.0,6.0,22.0,15.0,37.0,11.0
Abdullah Hukum → Telok Gadong,0.0,0.0,0.0,0.0,0.0,0.0,42.0,25.0,3.0,3.0,6.0,3.0,1.0,6.0,15.0,12.0,13.0,67.0,276.0,3390.0,1125.0,284.0,187.0,31.0
Abdullah Hukum → Telok Pulai,2.0,0.0,0.0,0.0,0.0,1.0,14.0,12.0,5.0,2.0,0.0,3.0,1.0,3.0,8.0,5.0,9.0,49.0,241.0,2117.0,703.0,181.0,77.0,22.0
Abdullah Hukum → Tiroi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdullah Hukum → UKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
Abdullah Hukum → Unknown,0.0,0.0,0.0,0.0,0.0,1.0,8.0,15.0,11.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0,7.0,3.0,1.0,0.0,0.0
