od_pair,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Anak Bukit → Arau,48.0,45.0,19.0,8.0,34.0,158.0,1844.0,1916.0,3045.0,1232.0,613.0,987.0,679.0,922.0,864.0,1419.0,1733.0,1661.0,1856.0,1283.0,987.0,373.0,281.0,90.0
Anak Bukit → Bagan Serai,5.0,3.0,1.0,0.0,2.0,110.0,46.0,150.0,66.0,38.0,111.0,63.0,92.0,40.0,122.0,102.0,115.0,97.0,42.0,28.0,15.0,1.0,3.0,1.0
Anak Bukit → Bukit Ketri,5.0,10.0,4.0,7.0,5.0,85.0,315.0,572.0,526.0,194.0,93.0,156.0,124.0,148.0,144.0,269.0,471.0,378.0,300.0,180.0,201.0,66.0,86.0,24.0
Anak Bukit → Bukit Mertajam,91.0,69.0,39.0,34.0,76.0,1628.0,3619.0,3299.0,2373.0,1177.0,1558.0,706.0,1556.0,695.0,1437.0,1530.0,1664.0,1623.0,1786.0,1580.0,966.0,1272.0,330.0,309.0
Anak Bukit → Bukit Tengah,67.0,26.0,8.0,24.0,133.0,2460.0,6490.0,6145.0,3143.0,1105.0,1221.0,517.0,1373.0,449.0,932.0,1256.0,1261.0,1293.0,1516.0,1667.0,863.0,1492.0,309.0,408.0
Anak Bukit → Butterworth,226.0,90.0,33.0,32.0,227.0,2190.0,4379.0,4629.0,3160.0,1954.0,2936.0,1134.0,2350.0,1107.0,2217.0,2161.0,2120.0,2166.0,1555.0,1616.0,760.0,1036.0,231.0,154.0
Anak Bukit → Gurun,10.0,8.0,3.0,0.0,3.0,171.0,1216.0,1041.0,753.0,340.0,439.0,330.0,426.0,351.0,539.0,840.0,1044.0,1554.0,889.0,416.0,242.0,161.0,196.0,9.0
Anak Bukit → Ipoh,55.0,32.0,13.0,18.0,27.0,241.0,370.0,741.0,279.0,241.0,558.0,332.0,524.0,240.0,698.0,506.0,481.0,334.0,118.0,76.0,69.0,73.0,5.0,2.0
Anak Bukit → Kamunting,1.0,3.0,0.0,2.0,6.0,50.0,45.0,120.0,65.0,49.0,102.0,43.0,94.0,91.0,157.0,187.0,159.0,216.0,44.0,30.0,28.0,5.0,0.0,0.0
Anak Bukit → Kobah,5.0,4.0,5.0,0.0,2.0,13.0,358.0,276.0,295.0,104.0,135.0,157.0,159.0,197.0,215.0,312.0,454.0,793.0,472.0,182.0,102.0,69.0,139.0,4.0
